Departamento;Categoria;Subcategoria;Segmento;Subsegmento;Qtd_Codigos_Barras
Alimentos;Alimentos Pereciveis;Frios E Laticinios;Queijos;Parmesao;5
Alimentos;Alimentos Pereciveis;Iogurtes E Lacteos;Bebida Lactea;Bebida Lactea Morango;10
Alimentos;Alimentos Pereciveis;Iogurtes E Lacteos;Bebida Lactea;Bebida Lactea Sabores;4
Alimentos;Alimentos Pereciveis;Polpa Congelada;Polpa Congelada Pacote;Polpa Pacote Sabores;2
Alimentos;Alimentos Sazonais;Sazonais Natal;Panetone;Panetone;9
Alimentos;Alimentos Sazonais;Sazonais Pascoa;Ovo Pascoa;Ovo Pascoa;1
Alimentos;Barra Alimenticia;Barra De Cereal;Barra Cereal Unidade;Barra Cereal Unidade Chocolate;1
Alimentos;Barra Alimenticia;Barra De Cereal;Barra Cereal Unidade;Barra Cereal Unidade Sabores;11
Alimentos;Barra Alimenticia;Barra De Frutas;Barra Frutas Unidade;Barra Frutas Unidade Chocolate;3
Alimentos;Barra Alimenticia;Barra De Frutas;Barra Frutas Unidade;Barra Frutas Unidade Sabores;1
Alimentos;Barra Alimenticia;Barra De Nuts;Barra Nuts Comum;Barra Nuts Choc;1
Alimentos;Barra Alimenticia;Barra De Nuts;Barra Nuts Comum;Barra Nuts Sabores;12
Alimentos;Barra Alimenticia;Barra De Proteina;Barra Proteina Pack;Barra Proteina Pack Sabores;10
Alimentos;Barra Alimenticia;Barra De Proteina;Barra Proteina Unidade;Barra Proteina Unidade Chocolate;8
Alimentos;Barra Alimenticia;Barra De Proteina;Barra Proteina Unidade;Barra Proteina Unidade Sabores;55
Alimentos;Bebidas;Agua;Agua Mineral;Agua Mineral Com Gas;4
Alimentos;Bebidas;Agua;Agua Mineral;Agua Mineral Com Gas 310ml;1
Alimentos;Bebidas;Agua;Agua Mineral;Agua Mineral Sem Gas;30
Alimentos;Bebidas;Agua;Agua Mineral;Agua Mineral Sem Gas 310ml;2
Alimentos;Bebidas;Agua;Agua Mineral;Agua Mineral Sem Gas 510ml;3
Alimentos;Bebidas;Agua;Agua Saborizada;Agua Saborizada;2
Alimentos;Bebidas;Agua;Agua Tonica;Agua Tonica;3
Alimentos;Bebidas;Bebida Energetica;Bebida Energetica Lata;Bebida Energetica Lata;19
Alimentos;Bebidas;Bebida Energetica;Bebida Energetica Lata;Bebida Energetica Pet;9
Alimentos;Bebidas;Bebida Isotonica;Agua Coco;Agua Coco Litro;4
Alimentos;Bebidas;Bebida Isotonica;Agua Coco;Agua Coco Tp;7
Alimentos;Bebidas;Bebida Isotonica;Isotonico;Isotonico;6
Alimentos;Bebidas;Cerveja;Cervejas;Cervejas;4
Alimentos;Bebidas;Refrigerantes;Refrigerante Cola;Refrigerante Cola Lata;5
Alimentos;Bebidas;Refrigerantes;Refrigerante Cola;Refrigerante Cola Pet;8
Alimentos;Bebidas;Refrigerantes;Refrigerante Guarana;Refrigerante Guarana Lata;1
Alimentos;Bebidas;Refrigerantes;Refrigerante Guarana;Refrigerante Guarana Pet;6
Alimentos;Bebidas;Refrigerantes;Refrigerante Sabores;Refrigerante Sabores Lata;15
Alimentos;Bebidas;Refrigerantes;Refrigerante Sabores;Refrigerante Sabores Pet;11
Alimentos;Bebidas;Sucos;Suco Laranja;Suco Laranja Lata;1
Alimentos;Bebidas;Sucos;Suco Laranja;Suco Laranja Pet;7
Alimentos;Bebidas;Sucos;Suco Sabores;Soco Abacaxi C/Hortela;1
Alimentos;Bebidas;Sucos;Suco Sabores;Soco Acerola C/ Laranja;1
Alimentos;Bebidas;Sucos;Suco Sabores;Suco Sabores Pet;3
Alimentos;Bebidas;Sucos;Suco Sabores;Suco Sabores Tp;18
Alimentos;Bebidas;Sucos;Suco Uva;Suco Uva Nectar;11
Alimentos;Biscoitos;Biscoito Doce;Alfajor;Alfajor Chocolate;1
Alimentos;Biscoitos;Biscoito Doce;Alfajor;Alfajor Chocolate Branco;1
Alimentos;Biscoitos;Biscoito Doce;Biscoito Amateigado;Biscoito Amateigado Sabores;5
Alimentos;Biscoitos;Biscoito Doce;Biscoito Leite;Biscoito Leite;3
Alimentos;Biscoitos;Biscoito Doce;Biscoito Maisena;Biscoito Maisena Saborizado;4
Alimentos;Biscoitos;Biscoito Doce;Biscoito Maisena;Biscoito Maisena Tradicional;6
Alimentos;Biscoitos;Biscoito Doce;Biscoito Recheado;Biscoito Recheado Chocolate;32
Alimentos;Biscoitos;Biscoito Doce;Biscoito Recheado;Biscoito Recheado Morango;7
Alimentos;Biscoitos;Biscoito Doce;Biscoito Recheado;Biscoito Recheado Sabores;19
Alimentos;Biscoitos;Biscoito Doce;Biscoito Seco;Biscoito Seco Chocolate;3
Alimentos;Biscoitos;Biscoito Doce;Biscoito Seco;Biscoito Seco Sabores;14
Alimentos;Biscoitos;Biscoito Doce;Biscoito Waffer;Biscoito Waffer Chocolate;12
Alimentos;Biscoitos;Biscoito Doce;Biscoito Waffer;Biscoito Waffer Morango;5
Alimentos;Biscoitos;Biscoito Doce;Biscoito Waffer;Biscoito Waffer Sabores;9
Alimentos;Biscoitos;Biscoito Doce;Cookie;Cookie Chocolate;24
Alimentos;Biscoitos;Biscoito Doce;Cookie;Cookie Sabores;37
Alimentos;Biscoitos;Biscoito Doce;Rosquinhas;Rosquinhas Coco;1
Alimentos;Biscoitos;Biscoito Doce;Rosquinhas;Rosquinhas Sabores;5
Alimentos;Biscoitos;Biscoito Salgado;Biscoito Agua E Sal;Biscoito Agua E Sal;3
Alimentos;Biscoitos;Biscoito Salgado;Biscoito Cream Cracker;Biscoito Cream Cracker;8
Alimentos;Biscoitos;Biscoito Salgado;Biscoito Salgado;Biscoito Salgado;13
Alimentos;Biscoitos;Biscoito Salgado;Personal Cracker;Personal Cracker;23
Alimentos;Bomboniere;Balas E Drops;Balas;Bala Dura;21
Alimentos;Bomboniere;Balas E Drops;Balas;Bala Mastigavel;27
Alimentos;Bomboniere;Balas E Drops;Balas;Balas Gelatina;13
Alimentos;Bomboniere;Balas E Drops;Balas;Balas Goma;25
Alimentos;Bomboniere;Balas E Drops;Balas;Paçoca;2
Alimentos;Bomboniere;Balas E Drops;Balas;Pirulitos;1
Alimentos;Bomboniere;Balas E Drops;Drops;Drops;48
Alimentos;Bomboniere;Chocolates;Bombom;Bombom Avulso;21
Alimentos;Bomboniere;Chocolates;Bombom;Bombom Caixa;11
Alimentos;Bomboniere;Chocolates;Bombom;Bombom Premium;8
Alimentos;Bomboniere;Chocolates;Candy Bar;Candy Bar;18
Alimentos;Bomboniere;Chocolates;Chocolate Barra;Chocolate Barra;175
Alimentos;Bomboniere;Chocolates;Chocolate Confeito;Chocolate Confeito;8
Alimentos;Bomboniere;Goma De Mascar;Goma De Mascar;Goma De Mascar;47
Alimentos;Cuidado Pet;Cuidado Cachorro;Acessorio Cachorro;Acessorio Cachorro;23
Alimentos;Cuidado Pet;Cuidado Cachorro;Acessorio Cachorro;Fralda Pet Cachorro;1
Alimentos;Cuidado Pet;Cuidado Cachorro;Alimento Cachorro;Petisco Cachorro;18
Alimentos;Cuidado Pet;Cuidado Cachorro;Alimento Cachorro;Racao Cachorro;28
Alimentos;Cuidado Pet;Cuidado Gato;Acessorio Gato;Acessorio Gato;5
Alimentos;Cuidado Pet;Cuidado Gato;Alimento Gato;Racao Gato;36
Alimentos;Cuidado Pet;Higiene Pet;Perfumaria Pet;Bloqueador Odor Pet;5
Alimentos;Cuidado Pet;Higiene Pet;Perfumaria Pet;Shampoo E Cond Pet;3
Alimentos;Matinais;Achocolatados;Achocolatado Liquido;Achocolatado Liquido;16
Alimentos;Matinais;Achocolatados;Achocolatado Liquido;Achocolatado Po;1
Alimentos;Matinais;Achocolatados;Achocolatado Po;Achocolatado Po;2
Alimentos;Matinais;Bolos;Bolinho Lanche;Bolinho Lanche;4
Alimentos;Matinais;Bolos;Bolo;Bolo Caseiro;2
Alimentos;Matinais;Bolos;Bolo;Bolo Ingles;1
Alimentos;Matinais;Cafe E Capuccino;Cafe;Cafe Capsula;11
Alimentos;Matinais;Cafe E Capuccino;Cafe;Cafe Po;8
Alimentos;Matinais;Cafe E Capuccino;Capuccino;Capuccino Instantaneo;5
Alimentos;Matinais;Cereal Matinal;Aveias;Aveias;3
Alimentos;Matinais;Cereal Matinal;Cereais;Cereais;9
Alimentos;Matinais;Cereal Matinal;Farinha Lactea;Farinha Lactea;5
Alimentos;Matinais;Cereal Matinal;Granolas;Granolas;2
Alimentos;Matinais;Chas;Chas Infusao;Cha Leao;2
Alimentos;Matinais;Chas;Chas Infusao;Chas Infusao;36
Alimentos;Matinais;Geleias E Cremes;Creme Avela;Creme Avela;3
Alimentos;Matinais;Geleias E Cremes;Doce Leite;Doce Leite;14
Alimentos;Matinais;Geleias E Cremes;Geleias;Geleias;4
Alimentos;Matinais;Geleias E Cremes;Pasta Amendoim;Pasta Amendoim;7
Alimentos;Matinais;Leite;Leite Em Po;Leite Em Liquido;1
Alimentos;Matinais;Leite;Leite Em Po;Leite Em Po;13
Alimentos;Matinais;Leite;Leite Longa Vida;Leite Longa Vida;1
Alimentos;Matinais;Pao E Torrada;Pao De Forma;Pao De Forma;10
Alimentos;Matinais;Pao E Torrada;Pao Especial;Pao Especial;16
Alimentos;Matinais;Pao E Torrada;Torrada;Torrada;4
Alimentos;Mercearia;Mercearia Doce;Lanche Escolar;Pure Doce;6
Alimentos;Mercearia;Mercearia Doce;Sobremesas;Sobremesas Preparo;10
Alimentos;Mercearia;Mercearia Doce;Sobremesas;Sobremesas Prontas;11
Alimentos;Mercearia;Mercearia Salgada;Aperitivos;Amendoim;21
Alimentos;Mercearia;Mercearia Salgada;Aperitivos;Castanha;9
Alimentos;Mercearia;Mercearia Salgada;Aperitivos;Mix De Nuts;3
Alimentos;Mercearia;Mercearia Salgada;Cereais;Farinhas;2
Alimentos;Mercearia;Mercearia Salgada;Cereais;Pipoca;4
Alimentos;Mercearia;Mercearia Salgada;Cereais;Pipoca Microondas;5
Alimentos;Mercearia;Mercearia Salgada;Macarrao E Instantaneo;Macarrao Instantaneo;10
Alimentos;Mercearia;Mercearia Salgada;Macarrao E Instantaneo;Noodle;7
Alimentos;Mercearia;Mercearia Salgada;Oleos E Azeites;Azeites;1
Alimentos;Mercearia;Mercearia Salgada;Oleos E Azeites;Oleo Coco;11
Alimentos;Mercearia;Salgadinhos;Salgadinho Chips;Salgadinho Chips Batata;20
Alimentos;Mercearia;Salgadinhos;Salgadinho Chips;Salgadinho Chips Sabores;26
Alimentos;Mercearia;Salgadinhos;Salgadinho Tubo;Salgadinho Tubo Batata;12
Alimentos;Sorvetes;Sorvete Familia;Sorvete Familia Acima 1lt;Sorvete Pote Acima 1lt Creme;7
Alimentos;Sorvetes;Sorvete Familia;Sorvete Familia Acima 1lt;Sorvete Pote Acima 1lt Sabores;14
Alimentos;Sorvetes;Sorvete Familia;Sorvete Familia Ate 1lt;Sortete Pote Ate 1lt Napolitano;1
Alimentos;Sorvetes;Sorvete Familia;Sorvete Familia Ate 1lt;Sorvete Pote Ate 1lt Creme;9
Alimentos;Sorvetes;Sorvete Familia;Sorvete Familia Ate 1lt;Sorvete Pote Ate 1lt Sabores;7
Alimentos;Sorvetes;Sorvete Imediato;Paleta;Paleta Chocolate;1
Alimentos;Sorvetes;Sorvete Imediato;Paleta;Paleta Sabores;1
Alimentos;Sorvetes;Sorvete Imediato;Picole;Picole Cremoso;2
Alimentos;Sorvetes;Sorvete Imediato;Picole;Picole Frutas;15
Alimentos;Sorvetes;Sorvete Imediato;Picole;Picole Recheado;26
Bazar;Casa E Utilidades;Casa E Decoracao;Acessorios Casa;Almofadas;1
Bazar;Casa E Utilidades;Casa E Decoracao;Acessorios Casa;Incensos;68
Bazar;Casa E Utilidades;Casa E Decoracao;Acessorios Casa;Odorizadores;2
Bazar;Casa E Utilidades;Casa E Decoracao;Utensilios Casa;Utensilios Diversos;25
Bazar;Casa E Utilidades;Utilidades Cozinha;Descartaveis Cozinha;Espeto Bambu;2
Bazar;Casa E Utilidades;Utilidades Cozinha;Descartaveis Cozinha;Folha Aluminio;1
Bazar;Casa E Utilidades;Utilidades Cozinha;Descartaveis Cozinha;Papel Manteiga;1
Bazar;Casa E Utilidades;Utilidades Cozinha;Descartaveis Cozinha;Talher Descartavel;2
Bazar;Casa E Utilidades;Utilidades Cozinha;Utensilios Cozinha;Balancas;1
Bazar;Casa E Utilidades;Utilidades Cozinha;Utensilios Cozinha;Copo/Caneca/Garrafa Term;29
Bazar;Casa E Utilidades;Utilidades Cozinha;Utensilios Cozinha;Galoes E Garrafas;4
Bazar;Casa E Utilidades;Utilidades Cozinha;Utensilios Cozinha;Marmitas;1
Bazar;Casa E Utilidades;Utilidades Cozinha;Utensilios Cozinha;Utensilios Cozinha Diversos;2
Bazar;Descartaveis Higiene;Lenco De Papel;Lenco Papel Bolso;Lenco Papel Bolso;2
Bazar;Descartaveis Higiene;Lenco De Papel;Lenco Papel Caixa;Lenco Papel Caixa;4
Bazar;Descartaveis Higiene;Papel Higienico;Papel Hgienico Rolo;Papel Hgienico Rolo;2
Bazar;Limpeza;Inseticidas;Inseticida Eletrico;Inseticida Eletrico Aparelho;5
Bazar;Limpeza;Inseticidas;Inseticida Gel;Inseticida Gel;1
Bazar;Limpeza;Inseticidas;Inseticida Spray;Inseticida Spray;3
Bazar;Limpeza;Limpeza Da Roupa;Lavagem Roupas;Amaciantes;1
Bazar;Limpeza;Limpeza Geral;Alcool;Alcool;2
Bazar;Limpeza;Limpeza Geral;Desinfetante;Desinfetante;8
Bazar;Limpeza;Limpeza Geral;Desodorizante;Bloqueador Odores;4
Bazar;Limpeza;Limpeza Geral;Desodorizante;Desodorizante;41
Bazar;Limpeza;Limpeza Geral;Limpador;Limpador;3
Bazar;Papelaria E Escritorio;Acessorio;Diversos;Protetor P/Documento;2
Bazar;Papelaria E Escritorio;Acessorio;Diversos;Sacola Flexfarma;1
Bazar;Papelaria E Escritorio;Papelaria;Livro E Revista;Livro;8
Bazar;Pilhas E Baterias;Baterias;Bateria 9v;Bateria 9v;3
Bazar;Pilhas E Baterias;Baterias;Bateria Litio;Bateria Litio;5
Bazar;Pilhas E Baterias;Pilhas;Pilha Consumo;Pilha Aa;9
Bazar;Pilhas E Baterias;Pilhas;Pilha Consumo;Pilha Aaa;13
Bazar;Pilhas E Baterias;Pilhas;Pilha Consumo;Pilha Auditiva;4
Bazar;Pilhas E Baterias;Pilhas;Pilha Consumo;Pilha Grande;2
Bazar;Pilhas E Baterias;Pilhas;Pilha Consumo;Pilha Media;8
Bazar;Pilhas E Baterias;Pilhas;Pilha Recarregavel;Pilha Aa;1
Bazar;Pilhas E Baterias;Pilhas;Pilha Recarregavel;Pilha Aaa;2
Bazar;Telefonia E Acessorios;Informatica;Acessorios Informatica;Pendrive;2
Bazar;Telefonia E Acessorios;Telefonia Celular;Acessorio Celular;Adaptador Celular;3
Bazar;Telefonia E Acessorios;Telefonia Celular;Acessorio Celular;Cabo Carregador;6
Bazar;Telefonia E Acessorios;Telefonia Celular;Acessorio Celular;Fone Ouvido;4
Bazar;Telefonia E Acessorios;Telefonia Celular;Acessorio Celular;Suporte Celular;1
Bazar;Telefonia E Acessorios;Telefonia Celular;Aparelho E Chip;Chip Celular;12
Bazar;Vestuario;Acessorios Vestuario;Acessorios Vestuario;Cinto;1
Bazar;Vestuario;Acessorios Vestuario;Necessaire;Necessaire;2
Bazar;Vestuario;Acessorios Vestuario;Oculos;Oculos Leitura;3
Bazar;Vestuario;Acessorios Vestuario;Oculos;Oculos Sol;2
Bazar;Vestuario;Calcados;Sandalia;Sandalia;6
Beleza E Cuidados;Colonia E Perfume;Perfumes;Colonias;Colonias;146
Beleza E Cuidados;Colonia E Perfume;Perfumes;Colonias;Kit Colonias;20
Beleza E Cuidados;Colonia E Perfume;Perfumes;Deo Colonias;Deo Colonias;112
Beleza E Cuidados;Colonia E Perfume;Talco Perfumado;Talco Cremoso;Talco Cremoso;10
Beleza E Cuidados;Cuidado Pele;Cuidado Corpo E Maos;Creme Massageador;Gel Massageador;6
Beleza E Cuidados;Cuidado Pele;Cuidado Corpo E Maos;Creme Massageador;Oleo Massageador;33
Beleza E Cuidados;Cuidado Pele;Cuidado Corpo E Maos;Esfoliacao;Creme Esfoliante;9
Beleza E Cuidados;Cuidado Pele;Cuidado Corpo E Maos;Hidratante Corpo E Maos;Hidratante Anti Sinais;19
Beleza E Cuidados;Cuidado Pele;Cuidado Corpo E Maos;Hidratante Corpo E Maos;Hidratante Corporal;432
Beleza E Cuidados;Cuidado Pele;Cuidado Corpo E Maos;Hidratante Corpo E Maos;Hidratante Maos;25
Beleza E Cuidados;Cuidado Pele;Cuidado Corpo E Maos;Hidratante Corpo E Maos;Hidratante Pernas;7
Beleza E Cuidados;Cuidado Pele;Cuidado Rosto;Limpeza Facial;Agua Micelar;26
Beleza E Cuidados;Cuidado Pele;Cuidado Rosto;Limpeza Facial;Algodao Disco;2
Beleza E Cuidados;Cuidado Pele;Cuidado Rosto;Limpeza Facial;Demaquilante;25
Beleza E Cuidados;Cuidado Pele;Cuidado Rosto;Limpeza Facial;Limpeza Antiacne;30
Beleza E Cuidados;Cuidado Pele;Cuidado Rosto;Limpeza Facial;Limpeza Esfoliante;16
Beleza E Cuidados;Cuidado Pele;Cuidado Rosto;Limpeza Facial;Limpeza Facial Comum;76
Beleza E Cuidados;Cuidado Pele;Cuidado Rosto;Tratamento Facial;Cicatrizante;17
Beleza E Cuidados;Cuidado Pele;Cuidado Rosto;Tratamento Facial;Hidratante Facial;57
Beleza E Cuidados;Cuidado Pele;Cuidado Rosto;Tratamento Facial;Mascara Facial;27
Beleza E Cuidados;Cuidado Pele;Cuidado Rosto;Tratamento Facial;Serum Facial;5
Beleza E Cuidados;Cuidado Pele;Cuidado Rosto;Tratamento Facial;Tratamento Anti Acne;16
Beleza E Cuidados;Cuidado Pele;Cuidado Rosto;Tratamento Facial;Tratamento Anti Idade;49
Beleza E Cuidados;Cuidado Pele;Cuidado Rosto;Tratamento Facial;Tratamento Labial;3
Beleza E Cuidados;Cuidados Com Cabelos;Condicionador;Condicionador;Cuidados Especiais;19
Beleza E Cuidados;Cuidados Com Cabelos;Condicionador;Condicionador Anti-Caspa;Condicionador Anti-Caspa 250ml Acima;2
Beleza E Cuidados;Cuidados Com Cabelos;Condicionador;Condicionador Anti-Caspa;Condicionador Anti-Caspa Ate 250ml;4
Beleza E Cuidados;Cuidados Com Cabelos;Condicionador;Condicionador Comum;Condicionador Barra;1
Beleza E Cuidados;Cuidados Com Cabelos;Condicionador;Condicionador Comum;Condicionador Regular Grande;148
Beleza E Cuidados;Cuidados Com Cabelos;Condicionador;Condicionador Comum;Condicionador Regular Pequeno;286
Beleza E Cuidados;Cuidados Com Cabelos;Finalizadores;Creme Pentear;Creme Pentear Economica;65
Beleza E Cuidados;Cuidados Com Cabelos;Finalizadores;Creme Pentear;Creme Pentear Regular;263
Beleza E Cuidados;Cuidados Com Cabelos;Finalizadores;Creme Pentear;Gelatina Cap;1
Beleza E Cuidados;Cuidados Com Cabelos;Finalizadores;Spray Cabelo;Spray Cabelo Acima 200ml;10
Beleza E Cuidados;Cuidados Com Cabelos;Finalizadores;Spray Cabelo;Spray Cabelo Ate 200ml;7
Beleza E Cuidados;Cuidados Com Cabelos;Finalizadores;Tratamento Capilar;Acidificante;3
Beleza E Cuidados;Cuidados Com Cabelos;Finalizadores;Tratamento Capilar;Ampolas Tratamento;95
Beleza E Cuidados;Cuidados Com Cabelos;Finalizadores;Tratamento Capilar;Ativador Cachos;38
Beleza E Cuidados;Cuidados Com Cabelos;Finalizadores;Tratamento Capilar;Defrizantes;78
Beleza E Cuidados;Cuidados Com Cabelos;Finalizadores;Tratamento Capilar;Leave-In;46
Beleza E Cuidados;Cuidados Com Cabelos;Finalizadores;Tratamento Capilar;Mascara Capilar;342
Beleza E Cuidados;Cuidados Com Cabelos;Finalizadores;Tratamento Capilar;Reparador De Pontas;17
Beleza E Cuidados;Cuidados Com Cabelos;Finalizadores;Tratamento Capilar;Serum Capilar;3
Beleza E Cuidados;Cuidados Com Cabelos;Finalizadores;Tratamento Capilar;Tonico Capilar;136
Beleza E Cuidados;Cuidados Com Cabelos;Finalizadores;Tratamento Capilar;Umidificante Cap;1
Beleza E Cuidados;Cuidados Com Cabelos;Shampoo;Shampoo Anticaspa;Shampoo Anti Caspa 2em1;2
Beleza E Cuidados;Cuidados Com Cabelos;Shampoo;Shampoo Anticaspa;Shampoo Anti Caspa Kit;2
Beleza E Cuidados;Cuidados Com Cabelos;Shampoo;Shampoo Anticaspa;Shampoo Anti Caspa Regular;54
Beleza E Cuidados;Cuidados Com Cabelos;Shampoo;Shampoo Comum;Shampoo A Seco;5
Beleza E Cuidados;Cuidados Com Cabelos;Shampoo;Shampoo Comum;Shampoo Barra;2
Beleza E Cuidados;Cuidados Com Cabelos;Shampoo;Shampoo Comum;Shampoo Cabelos Coloridos;10
Beleza E Cuidados;Cuidados Com Cabelos;Shampoo;Shampoo Comum;Shampoo Cabelos Crespos;1
Beleza E Cuidados;Cuidados Com Cabelos;Shampoo;Shampoo Comum;Shampoo Comum Kit;134
Beleza E Cuidados;Cuidados Com Cabelos;Shampoo;Shampoo Comum;Shampoo Cond Cuidados Especiais Kit;5
Beleza E Cuidados;Cuidados Com Cabelos;Shampoo;Shampoo Comum;Shampoo Cuidados Especiais;52
Beleza E Cuidados;Cuidados Com Cabelos;Shampoo;Shampoo Comum;Shampoo Regular;439
Beleza E Cuidados;Cuidados Com Cabelos;Shampoo;Shampoo Comum;Shampoo Regular 2em1;6
Beleza E Cuidados;Cuidados Com Cabelos;Shampoo;Shampoo Medicamentoso;Shampoo Anti Caspa;2
Beleza E Cuidados;Cuidados Com Cabelos;Shampoo;Shampoo Medicamentoso;Shampoo Anti Piolhos;6
Beleza E Cuidados;Cuidados Com Cabelos;Shampoo;Shampoo Medicamentoso;Shampoo Anti Seborreicos;5
Beleza E Cuidados;Cuidados Com Cabelos;Shampoo;Shampoo Medicamentoso;Shampoo Antiqueda;3
Beleza E Cuidados;Cuidados Homem;Coloracao Masculina;Alisante Tonalizante;Alisante Tonalizante;5
Beleza E Cuidados;Cuidados Homem;Coloracao Masculina;Coloracao Permanente;Coloracao Permanente;6
Beleza E Cuidados;Cuidados Homem;Coloracao Masculina;Retoque Tintura Locao;Retoque Tintura Locao;1
Beleza E Cuidados;Cuidados Homem;Cuidados Pes;Desodorante Pes;Deo Pes Aero;9
Beleza E Cuidados;Cuidados Homem;Cuidados Pes;Desodorante Pes;Deo Pes Po;13
Beleza E Cuidados;Estetica Cabelo;Acessorio Cabelo;Espelho;Espelho Aumento;2
Beleza E Cuidados;Estetica Cabelo;Acessorio Cabelo;Espelho;Espelho Bolsa;4
Beleza E Cuidados;Estetica Cabelo;Acessorio Cabelo;Pente E Escova;Escova Almofadada;14
Beleza E Cuidados;Estetica Cabelo;Acessorio Cabelo;Pente E Escova;Escova Cabelo Oval;21
Beleza E Cuidados;Estetica Cabelo;Acessorio Cabelo;Pente E Escova;Escova Cabelo Profissional;7
Beleza E Cuidados;Estetica Cabelo;Acessorio Cabelo;Pente E Escova;Escova Cabelo Retangular;4
Beleza E Cuidados;Estetica Cabelo;Acessorio Cabelo;Pente E Escova;Escova Cabelo Uso Diaro;47
Beleza E Cuidados;Estetica Cabelo;Acessorio Cabelo;Pente E Escova;Escova Massageadora;1
Beleza E Cuidados;Estetica Cabelo;Acessorio Cabelo;Pente E Escova;Escova Racket;4
Beleza E Cuidados;Estetica Cabelo;Acessorio Cabelo;Pente E Escova;Pente Comum;31
Beleza E Cuidados;Estetica Cabelo;Acessorio Cabelo;Pente E Escova;Pente De Bolso;1
Beleza E Cuidados;Estetica Cabelo;Acessorio Cabelo;Pente E Escova;Pente Fino;3
Beleza E Cuidados;Estetica Cabelo;Acessorio Cabelo;Pente E Escova;Pente Madeira;1
